,Cleaned_Headline,Sentiment
0,"There Are 2.2 Billion Reasons to Buy Apple Stock Hand Over Fist, but 1 Metric Might Give Investors Pause",neutral
1,EU regulators reportedly will fine Apple more than $500 million in antitrust probe,negative
2,"Apple, Kai Fa Zhe Xiang keni[macOS 14.4 Sonoma] ya[iOS/iPadOS 17.4] nadonoBeta 4to[visionOS 1.1] noBeta 3woGong Kai .",neutral
3,Apple's newest app is a thrilling gift for sports fans,positive
4,"Apple, Zui Xin nomacOS 14 SonomayaiOS 17, VisionOSde[Canon EOS R100] ya[FUJIFILM X-S20] , [Nikon Z 8] , [Sony Alpha ZV-E1] nadonoRAWhuo-matsutowoneiteibusapo-to.",positive
5,"Horizon Kinetics: Chinese Tech Has Boosted Apple (AAPL), the Second Highest-Weighted Company in the S&P 500",positive
6,This investor has a huge bet on Berkshire Hathaway and says Apple is overvalued,negative
7,Major Shareholders Planning to Force Apple to Reveal Use of AI,neutral
8,"Apple, Kai Fa Zhe Xiang keni[macOS 14.4 Sonoma Beta 5] ya[iOS/iPadOS 17.4 RC] , [visionOS 1.1 Beta 4] nadowoGong Kai . [iOS 16.7.6] ya[iOS 15.8.2] moRCni.",neutral
9,Apple reportedly ends its longtime plans to build a self-driving EV,negative
10,Apple Stock Could Notch New Record High,positive
11,AAPL investors don't care that the Apple Car is cancelled,neutral
12,Will Apple create a better AI? Questions abound as Tim Cook hints at what's to come.,neutral
13,Apple shareholders reject AI-disclosure proposal,negative
14,Microsoft hasn't been worth this much more than Apple since 2003,negative
15,Will Apple Acquire Rivian? 1 Wall Street Analyst Thinks it Should,neutral
16,Apple AI and why investors should expect revenue growth,neutral
17,"Mi Belkin, Apple TVnoFaceTimeapurideiPhonewoWebkameranisuruLian Xi kameraJi Neng Yong nomaunto[iPhone Mount with MagSafe for Apple TV 4K] woFa Biao .",positive
18,"Chinese smartphone sales fall, customers unimpressed by Apple's new iPhone model",negative
19,Apple's stock is in a 'funk.' Could Warren Buffett be selling more shares?,negative
20,"Apple stock falls to lowest level this year, while other tech companies see AI-fuelled rally",negative
21,"Apple, Fu Shu noCui Ruo Xing woXiu Zheng shita[macOS 12.7.4 Monterey] , [macOS 13.6.5 Ventura] oyobi[Safari 17.4] woriri-su.",neutral
22,Apple: Reasons For Selloff & How It May Present An Opportunity (Rating Downgrade) (AAPL),negative
23,"Stocks Fade After Jobs Report; Salesforce, Apple Leads Dow Jones; Nvidia Reverses Sharply Lower",positive
24,Apple MacBook Air 2024 review: The best keeps getting better,positive
25,"Apple, DEATH STRANDING DIRECTOR'S CUTyaBIOHAZARD RE:4/VILLAGE, Straynadonoge-mutaitorugaTe Bie Jia Ge deFan Mai surukiyanpe-nwoMac App StoredeKai Cui .",neutral
26,"Apple's iPhone business has been sluggish, but here's the good news",negative
27,"Down 10% This Year, Will Gen AI Tools Help Apple Stock Recover?",neutral
28,How To Earn $500 A Month From Apple Stock,positive
29,Apple Enters Oversold Territory,neutral
30,Misleading talk about iPhone demand in China costs Apple $490 million,negative
31,Is Apple (AAPL) Facing Increasing Risk of Chinese Bans?,negative
32,"Analysts mostly non-plussed by DoJ suit, and believe Apple will win",positive
33,Apple's Days of Smartphone Monopoly Are Coming To An End,negative
34,"Jim Cramer throws cold water on DOJ's lawsuit against Apple, calls it a 'buying opportunity'",positive
35,"Jason Cases, ApplenoVision ProtoZhou Bian Ji Qi woAn Quan niYun beru[Apple Vision Pro Case] woFa Mai .",neutral
36,"Apple, macOS 12 MontereytomacOS 13 VenturaXiang keniWebRTCnoCui Ruo Xing woXiu Zheng shita[Safari v17.4.1] woriri-su.",neutral
37,Soft Landing Still The Narrative & Stock Of The Week: Apple (AAPL),positive
38,Microsoft hasn't been worth this much more than Apple since 2003,negative
39,Will Apple Acquire Rivian? 1 Wall Street Analyst Thinks it Should,positive
40,"Mi Belkin, Apple TVnoFaceTimeapurideiPhonewoWebkameranisuruLian Xi kameraJi Neng Yong nomaunto[iPhone Mount with MagSafe for Apple TV 4K] woFa Biao .",neutral
41,Apple AI and why investors should expect revenue growth,positive
42,"Chinese smartphone sales fall, customers unimpressed by Apple's new iPhone model",negative
43,Apple's stock is in a 'funk.' Could Warren Buffett be selling more shares?,negative
44,"Apple stock falls to lowest level this year, while other tech companies see AI-fuelled rally",negative
45,"Apple, Fu Shu noCui Ruo Xing woXiu Zheng shita[macOS 12.7.4 Monterey] , [macOS 13.6.5 Ventura] oyobi[Safari 17.4] woriri-su.",neutral
46,Apple: Reasons For Selloff & How It May Present An Opportunity (Rating Downgrade) (AAPL),negative
47,"Stocks Fade After Jobs Report; Salesforce, Apple Leads Dow Jones; Nvidia Reverses Sharply Lower",positive
48,Apple MacBook Air 2024 review: The best keeps getting better,positive
49,"Apple, DEATH STRANDING DIRECTOR'S CUTyaBIOHAZARD RE:4/VILLAGE, Straynadonoge-mutaitorugaTe Bie Jia Ge deFan Mai surukiyanpe-nwoMac App StoredeKai Cui .",neutral
50,"Apple's iPhone business has been sluggish, but here's the good news",positive
51,"Down 10% This Year, Will Gen AI Tools Help Apple Stock Recover?",neutral
52,How To Earn $500 A Month From Apple Stock,positive
53,Apple Enters Oversold Territory,neutral
54,Misleading talk about iPhone demand in China costs Apple $490 million,negative
55,Is Apple (AAPL) Facing Increasing Risk of Chinese Bans?,negative
56,"Analysts mostly non-plussed by DoJ suit, and believe Apple will win",positive
57,Apple's Days of Smartphone Monopoly Are Coming To An End,negative
58,"Jim Cramer throws cold water on DOJ's lawsuit against Apple, calls it a 'buying opportunity'",negative
59,"Jason Cases, ApplenoVision ProtoZhou Bian Ji Qi woAn Quan niYun beru[Apple Vision Pro Case] woFa Mai .",neutral
60,"Apple, macOS 12 MontereytomacOS 13 VenturaXiang keniWebRTCnoCui Ruo Xing woXiu Zheng shita[Safari v17.4.1] woriri-su.",neutral
61,Soft Landing Still The Narrative & Stock Of The Week: Apple (AAPL),positive
62,Apple (AAPL) Registers a Bigger Fall Than the Market: Important Facts to Note,negative
63,DOJ compares AAPL share buybacks with R&D spend as 'evidence' of lack of competition,neutral
64,Will Apple create a better AI? Questions abound as Tim Cook hints at what's to come.,positive
65,Apple shareholders reject AI-disclosure proposal,negative
